"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"10010",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10019",1008,1017,1031,1052,1001,1003,1018,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10021",1017,1018,1035,1037,1090,1009,1001,1032,1003,1088,1017,1018,1014,1000,1089,1001,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10031",1008,1009,1017,1001,1003,1024,1034,1018,1032,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10035",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10036",1025,1069,1017,1074,1008,1037,1009,1026,1032,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10038",1045,1062,1017,1004,1021,1008,1056,1046,1040,1034,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10039",1051,1054,1018,1035,1008,1009,1026,1040,1052,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10065",1064,1065,1066,1067,1027,1040,1061,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10068",1017,1008,1000,1036,1040,1052,1031,1003,1011,1095,1026,1068,1041,1032,1096,1042,1097,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10070",1008,1027,1026,1041,1032,1001,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10077",1000,1058,1017,1049,1001,1034,1003,1018,1057,1041,1003,1034,1048,1034,1042,1034,1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10085",1064,1065,1066,1067,1027,1040,1061,1068,1042,1034,1025,1069,1070,1018,1004,1071,1072,1010,1008,1038,1023,1026,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
